Usuario,Fecha,Horas,Proyecto,Issue,IssueId,TempoWorklogId,Cuenta
712020:1e3eed0c-846c-4ebd-bec7-51d04bbb59c0,2025-06-02,1.0,TEMPO WORKLOAD,TEM-30,182761,360957,
712020:267d13ec-de62-4d6f-95f6-db9acfb88e84,2025-06-02,2.25,TEMPO WORKLOAD,TEM-30,182761,360638,
712020:1e3eed0c-846c-4ebd-bec7-51d04bbb59c0,2025-06-02,0.5,TEMPO WORKLOAD,TEM-30,182761,360959,
712020:00e94d7a-1f49-4891-bbf9-a2bf827bd258,2025-06-02,2.5,TEMPO WORKLOAD,TEM-9,182631,358493,
712020:a3240ec7-ccb7-4e31-81ed-5338bd11acc2,2025-06-02,5.0,TEMPO WORKLOAD,TEM-8,182630,358512,
712020:50a28763-7675-4ba8-9f58-305b20af5172,2025-06-02,8.0,TEMPO WORKLOAD,TEM-7,182629,358548,
712020:ca798410-124d-40e3-9954-420f35eb4d5c,2025-06-02,7.2,TEMPO WORKLOAD,TEM-7,182629,358602,
712020:f50b1e80-f1ef-440b-b954-716fbfdbc927,2025-06-02,8.0,TEMPO WORKLOAD,TEM-9,182631,358824,
62fbddc8bb0704a2a808bd57,2025-06-02,8.0,TEMPO WORKLOAD,TEM-5,182627,358866,
712020:02ccfc0c-5c0f-4e48-8f91-fb3bb584a2dc,2025-06-02,8.0,TEMPO WORKLOAD,TEM-7,182629,359338,
5c8bd79686c36970e812b609,2025-06-02,4.0,TEMPO WORKLOAD,TEM-7,182629,360146,
5c8bd79686c36970e812b609,2025-06-02,4.0,TEMPO WORKLOAD,TEM-9,182631,360150,
62e433730b4bf7ad924bcbe5,2025-06-02,8.0,TEMPO WORKLOAD,TEM-7,182629,360159,
712020:ab3c5ef0-a515-47fc-9cdd-3b5d0c219224,2025-06-02,8.0,TEMPO WORKLOAD,TEM-9,182631,360198,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,2025-06-02,3.0,TEMPO WORKLOAD,TEM-9,182631,360477,
712020:1e3eed0c-846c-4ebd-bec7-51d04bbb59c0,2025-06-02,1.0,TEMPO WORKLOAD,TEM-30,182761,360958,
712020:f5cdecd9-64db-4d5e-b4a2-c8f4b7201212,2025-06-02,8.0,TEMPO WORKLOAD,TEM-7,182629,361157,
63d916c4bf837c6893d6fbad,2025-06-02,8.0,TEMPO WORKLOAD,TEM-7,182629,361341,
613fb383e057c6006a1ccade,2025-06-02,8.0,TEMPO WORKLOAD,TEM-8,182630,361505,
712020:98295f35-86b1-4d23-a51b-30dbe7170d11,2025-06-02,7.2,TEMPO WORKLOAD,TEM-7,182629,361687,
712020:15482282-a769-4a4d-a4c2-0424a3a2e0d8,2025-06-02,3.0,TEMPO WORKLOAD,TEM-8,182630,362185,
5e751b85fad9000c325d9aae,2025-06-02,7.5,TEMPO WORKLOAD,TEM-8,182630,362275,
712020:15482282-a769-4a4d-a4c2-0424a3a2e0d8,2025-06-02,4.0,TEM,TEM-40,184295,376913,
613fb383e057c6006a1ccade,2025-06-02,8.0,TEM,TEM-38,184293,379561,
637d1ac0f48fbd9b62d50fc3,2025-06-02,8.0,TEM,TEM-38,184293,379599,
62fbddc8bb0704a2a808bd57,2025-06-02,8.0,TEM,TEM-38,184293,379675,
5c8bd79686c36970e812b609,2025-06-02,8.0,TEM,TEM-38,184293,379713,
5e751b85fad9000c325d9aae,2025-06-02,8.0,TEM,TEM-38,184293,379732,
712020:39d78a45-5732-4153-afaa-dc9227f4dfe3,2025-06-02,8.0,TEM,TEM-38,184293,379841,
712020:f50b1e80-f1ef-440b-b954-716fbfdbc927,2025-06-02,6.0,TEM,TEM-41,184296,380931,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,2025-06-02,6.0,TEM,TEM-41,184296,380994,
62e433730b4bf7ad924bcbe5,2025-06-02,7.0,TEM,TEM-41,184296,381053,
712020:f5cdecd9-64db-4d5e-b4a2-c8f4b7201212,2025-06-02,8.0,TEM,TEM-39,184294,381643,
712020:448afbe2-d875-40e8-9541-835a59cdf0a7,2025-06-02,8.0,TEM,TEM-39,184294,381662,
712020:11e8ce5a-06a7-43cf-9c5a-858eed6f0a07,2025-06-02,8.0,TEM,TEM-39,184294,381681,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,2025-06-02,8.0,TEM,TEM-39,184294,381738,
712020:f71fff89-9283-4b8c-afc6-a4ccda67573c,2025-06-02,8.0,TEMPO WORKLOAD,TEM-7,182629,358537,
712020:f518f4e7-7314-45a9-a3ef-723ad3fd6d7f,2025-06-02,6.75,TEMPO WORKLOAD,TEM-7,182629,358546,
712020:a7ee73c4-a6b3-4a8b-b22b-97aa3edf3ff7,2025-06-02,4.0,TEMPO WORKLOAD,TEM-8,182630,358583,
712020:5ee2f3fa-371b-4e6b-b912-594fc836bd92,2025-06-02,4.0,TEMPO WORKLOAD,TEM-2,182624,358957,
